Tarih,Fiyat
2015-11-15,100.786
2015-11-16,100.484
2015-11-17,98.668
2015-11-18,98.594
2015-11-19,98.948
2015-11-20,98.035
2015-11-22,97.943
2015-11-23,98.054
2015-11-24,99.442
2015-11-25,99.411
2015-11-26,100.956
2015-11-27,99.555
2015-11-29,99.515
2015-11-30,99.642
2015-12-01,99.416
2015-12-02,97.9
2015-12-03,98.573
2015-12-04,101.09
2015-12-06,100.71
2015-12-07,100.301
2015-12-08,100.711
2015-12-09,100.436
2015-12-10,100.833
2015-12-11,103.07
2015-12-13,102.368
2015-12-14,101.921
2015-12-15,101.149
2015-12-16,101.001
2015-12-17,99.112
2015-12-18,99.663
2015-12-20,99.728
2015-12-21,100.897
2015-12-22,101.179
2015-12-23,100.64
2015-12-24,101.039
2015-12-27,100.874
2015-12-28,99.823
2015-12-29,99.94
2015-12-30,99.774
2015-12-31,99.428
2016-01-03,99.844
2016-01-04,102.323
2016-01-05,103.504
2016-01-06,105.519
2016-01-07,107.053
2016-01-08,107.265
2016-01-10,108.073
2016-01-11,107.027
2016-01-12,105.999
2016-01-13,106.638
2016-01-14,104.794
2016-01-15,106.721
2016-01-17,106.897
2016-01-18,106.289
2016-01-19,106.269
2016-01-20,107.529
2016-01-21,106.813
2016-01-22,105.915
2016-01-24,106.09
2016-01-25,107.73
2016-01-26,108.289
2016-01-27,108.574
2016-01-28,106.452
2016-01-29,106.182
2016-01-31,106.233
2016-02-01,106.935
2016-02-02,107.092
2016-02-03,107.041
2016-02-04,108.262
2016-02-05,110.042
2016-02-07,109.315
2016-02-08,112.848
2016-02-09,112.433
2016-02-10,112.577
2016-02-11,117.017
2016-02-12,116.543
2016-02-14,116.443
2016-02-15,114.54
2016-02-16,115.158
2016-02-17,114.748
2016-02-18,117.46
2016-02-19,116.492
2016-02-21,116.338
2016-02-22,114.136
2016-02-23,116.437
2016-02-24,115.59
2016-02-25,116.171
2016-02-26,117.661
2016-02-28,117.417
2016-02-29,118.201
2016-03-01,116.34
2016-03-02,116.725
2016-03-03,117.934
2016-03-04,117.639
2016-03-06,118.075
2016-03-07,118.927
2016-03-08,118.314
2016-03-09,116.632
2016-03-10,118.223
2016-03-11,115.396
2016-03-13,115.723
2016-03-14,114.14
2016-03-15,114.885
2016-03-16,116.201
2016-03-17,115.173
2016-03-18,115.726
2016-03-20,115.708
2016-03-21,114.502
2016-03-22,115.123
2016-03-23,113.084
2016-03-24,112.412
2016-03-27,112.262
2016-03-28,112.771
2016-03-29,113.218
2016-03-30,111.846
2016-03-31,111.576
2016-04-01,111.008
2016-04-03,110.833
2016-04-04,109.869
2016-04-05,112.076
2016-04-06,111.945
2016-04-07,114.091
2016-04-08,113.584
2016-04-10,114.091
2016-04-11,114.409
2016-04-12,114.327
2016-04-13,113.55
2016-04-14,112.693
2016-04-15,113.251
2016-04-17,113.564
2016-04-18,112.279
2016-04-19,113.769
2016-04-20,112.618
2016-04-21,113.791
2016-04-22,112.88
2016-04-24,112.945
2016-04-25,113.238
2016-04-26,112.764
2016-04-27,112.935
2016-04-28,114.482
2016-04-29,116.294
